id;nombre;contacto;fecha_fin_obra;elementos_de_red;clientes_catv;clientes_fibertel;clientes_fibertel_lite;clientes_flow;clientes_combo;lineas_voz;meses_de_finalizado;altas_bc;penetracion_viv_lot;penetracion_bc;demanda_1;demanda_2;demanda_3;demanda_4;lotes;viviendas;com_prof;habitaciones;manzanas;demanda;fecha_de_relevamiento;telefono;ano_priorizacion;contrato_open;negociacion;estado_bc;fecha;codigo_de_firma;fecha_firma;observaciones;comentario;estado_firma
1;Handcrafted Frozen Mouse impactful capacitor;fresh-thinking;2020-11-16;Rubber Harbors;3rd generation Officer withdrawal;Re-contextualized;algorithm;Terrace;deposit Optimized;moderator hacking zero administration;alarm Buckinghamshire;Borders United Arab Emirates;open-source Stravenue;Handcrafted TCP invoice;Texas;RAM Utah;yellow Mobility instruction set;Branding;Italy;Rubber primary optimizing;Direct scalable Route;EXE;generating Sleek;bricks-and-clicks Concrete Nakfa;2020-11-15;IB;2020-11-15;Auto Loan Account cross-platform Fantastic;true;JSON Village PCI;2020-11-16;Union Frozen neural;2020-11-16;Bedfordshire;USB Granite Won;morph
2;primary sky blue;Internal;2020-11-16;navigating payment Open-architected;capacity;deploy;viral;redundant Sleek;redundant Frozen;Nuevo Sol Sleek interfaces;Shirt impactful;Afghani;PNG;array solid state;Wisconsin National;Shirt Borders;overriding Marketing;sensor Tools Metal;Algeria;Plastic River PNG;withdrawal;plum;Savings Account payment Awesome;User-centric;2020-11-16;Avon Generic;2020-11-15;Generic Concrete Tuna;true;system lime;2020-11-16;USB;2020-11-15;Technician;transmit Open-architected;B2C encompassing
3;Communications Shoes Avon;Unbranded Brand;2020-11-16;cross-platform application;Malawi Fantastic Mobility;Frozen Representative;payment solution-oriented Licensed;Investment Account hacking;French Southern Territories;array Ball index;Convertible Marks solution-oriented;redefine;Security fuchsia;multimedia;payment haptic;card Industrial;Dominican Peso;Officer navigating Computers;portals;Credit Card Account XML;primary logistical Personal Loan Account;deposit Automotive bypassing;withdrawal;secondary Progressive;2020-11-15;Grocery Qatar;2020-11-16;Concrete;false;web-readiness;2020-11-16;Marketing;2020-11-16;Unbranded;Isle Cambridgeshire Savings Account;Handcrafted Cotton Ball
4;programming;Ports;2020-11-16;Engineer Dam Virginia;calculating payment Metal;bluetooth Savings Account open-source;feed;Strategist parsing extranet;Keys Corporate;Shoes frame;Tactics;Functionality Licensed;Unbranded Plastic Soap Planner recontextualize;Games;bus cutting-edge;Fish knowledge user;ubiquitous;Beauty Books Vermont;Chicken THX Washington;multi-byte;Associate Maldives;open system Operative;Bedfordshire;XML;2020-11-15;neural;2020-11-15;Ball Lake Fantastic;true;empower e-commerce cultivate;2020-11-15;Applications Cambridgeshire frame;2020-11-16;Moldovan Leu Clothing South Dakota;whiteboard Public-key Granite;Bolivia
5;Gibraltar concept;proactive Spur initiative;2020-11-16;Mouse;users Games Concrete;Platinum mission-critical Jewelery;navigate;visionary;innovative Awesome;Intelligent Rhode Island Internal;Manager initiatives discrete;Product Small array;Bedfordshire Ball;Mews copy Rubber;Optional;Bedfordshire application;plum Buckinghamshire Well;Electronics COM;Isle generating;National Phased;Berkshire transmitting;global;Electronics transmit;Human;2020-11-15;platforms Coordinator Metal;2020-11-16;real-time Unbranded;true;Intelligent Metal Mouse;2020-11-15;empower Kwacha;2020-11-15;overriding Plastic;Bedfordshire;Canyon Shirt
6;alarm;asynchronous;2020-11-16;HTTP Rustic Soft Chips Pa'anga;Auto Loan Account synergy China;Facilitator Cambridgeshire redundant;Regional;generating deploy;Kentucky e-commerce generate;Bike Soft Saint Helena Pound;Harbor;empower evolve Architect;Manager Arizona;Zimbabwe;back up;Checking Account Squares Liaison;Cloned;Forest;connect;protocol Hryvnia;Borders;Markets;Money Market Account index;synthesizing Rubber;2020-11-15;Fantastic hardware online;2020-11-15;Administrator auxiliary;false;connecting hierarchy;2020-11-15;International Pizza Tasty;2020-11-16;COM 24 hour;green infomediaries Vista;deposit panel
7;Diverse hard drive initiatives;United States of America copying compressing;2020-11-15;interface optimize deliverables;Nepal sky blue Tuna;Money Market Account Borders Savings Account;Incredible Cotton Fish;International Gambia redundant;transmit Peso Uruguayo Uruguay Peso en Unidades Indexadas systematic;Rupiah;revolutionary Small Plastic Cheese compressing;reintermediate;override index American Samoa;Belarus;system;South Dakota Officer bypass;zero administration Multi-lateral;Pennsylvania;Directives back-end;Tasty Wooden Chips;ivory Developer Squares;Spurs;Steel International Syrian Pound;well-modulated pixel program;2020-11-16;Wooden tan auxiliary;2020-11-15;hacking;false;bandwidth invoice input;2020-11-16;Handcrafted Cotton Gloves;2020-11-16;Small Granite Tuna European Unit of Account 17(E.U.A.-17);seamless Chips;connect Forward
8;Sports;Mobility Tasty Fresh Cheese;2020-11-16;Auto Loan Account Gorgeous Wooden Table;JSON;index aggregate cross-platform;SCSI;parsing Berkshire;Pre-emptive integrated Director;optical;parse Branding Right-sized;Books RSS;Ball Assistant Serbian Dinar;Keyboard;Cotton;next-generation;Auto Loan Account;wireless integrate matrix;asynchronous;Practical Rubber Pizza Ball efficient;Rustic metrics wireless;withdrawal Plastic;Fundamental Kentucky indexing;intangible bandwidth;2020-11-16;Baby Tasty Concrete Soap;2020-11-15;dot-com Steel viral;false;Incredible Metal Computer;2020-11-15;Minnesota matrix;2020-11-16;out-of-the-box hacking quantify;Profit-focused generating Future;Minnesota Oval
9;parse Human;Concrete clicks-and-mortar zero defect;2020-11-16;sensor Fort expedite;Agent synthesize;Division payment;Rwanda Franc Pants;Markets copying invoice;Checking Account Cambridgeshire;deposit e-tailers channels;Investment Account Practical e-enable;Representative deliverables solutions;utilisation Ergonomic;Loop;Direct Supervisor synergy;Brand Ergonomic Leone;Minnesota Investor Chicken;Architect;Loop Triple-buffered Borders;initiatives International Berkshire;seamless;Usability;emulation;relationships quantifying Shoes;2020-11-16;Product Ball Optimization;2020-11-16;Corporate Fantastic Cotton Salad;false;Steel Personal Loan Account;2020-11-16;Wyoming;2020-11-16;synthesize AGP;pixel;Alley migration morph
10;HTTP;Czech Koruna;2020-11-15;process improvement actuating Associate;Markets invoice;override CSS application;system bypassing;Automotive Expanded;red Faroe Islands Avon;Bacon Intelligent;Buckinghamshire Texas Tools;Kansas Legacy Nauru;Cheese;AI;dot-com;Saint Lucia;Fantastic Steel Pants silver backing up;indigo Cotton withdrawal;open-source Unbranded;Direct;dynamic SMS withdrawal;seize Towels methodical;Product EXE streamline;feed Czech Republic Paradigm;2020-11-15;Chips parse;2020-11-15;Lodge Architect;false;Vermont Engineer salmon;2020-11-16;Identity;2020-11-16;Iranian Rial;AI Shoes 24 hour;framework synthesizing Jewelery
