id;descripcion;sobre_lote;sobre_vivienda
1;Plastic;Ergonomic Cotton Sausages capacitor;Unbranded Concrete Tuna systems
2;capacity online Rustic Concrete Tuna;copying SMTP Home Loan Account;scalable
3;Texas;matrix Finland;Integration e-markets
4;object-oriented Direct Plastic;New Taiwan Dollar optimize Music;transmit
5;payment generate Total;Borders Assimilated;Unbranded Wooden Bike frictionless Savings Account
6;demand-driven program;navigating;red system Bulgarian Lev
7;Fantastic;South Carolina;Illinois success info-mediaries
8;magenta Fresh Regional;content-based copy;Frozen
9;coherent;Visionary;Lead Facilitator
10;Handmade Wooden Bike Fresh;Fantastic Bermuda;Cameroon Automated Future
